instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
75B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,246429694.30398118,maxTimeLimit,1733346,90326,0.06725798163706762,3600.172814130783,3665.99,263004058.15830654,,"(0.0,)","(0.0,)","(6851.775927485446,)",344828639.2320003
75B_6F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,316481444.10706896,maxTimeLimit,1733346,90326,0.01425957025557232,3600.1870419979095,3665.76,320994333.4938987,,"(0.0,)","(0.0,)","(7783.180060731963,)",344828639.2320002
75B_6F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,308692991.6706143,maxTimeLimit,1733346,90326,0.009087437007650972,3600.240259885788,3665.26,311498219.78712434,,"(0.0,)","(0.0,)","(7526.837266246817,)",344828639.2319998
75B_6F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,299802255.79290146,maxTimeLimit,1733346,90326,0.010881911887364175,3600.1535460948944,3667.56,303064677.5240728,,"(0.0,)","(0.0,)","(7641.702657806471,)",344828639.23200005
75B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,287943831.8612578,maxTimeLimit,1733346,90326,0.022199437091594602,3600.200585126877,3665.58,294336022.8425745,,"(0.0,)","(0.0,)","(7879.374493474951,)",344828639.2320001
75B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,246429694.30398118,maxTimeLimit,1733346,90326,0.06725798163706762,3600.1825621128082,3665.56,263004058.15830654,,"(0.0,)","(0.0,)","(6851.775927485446,)",344828639.2320003
75B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,230790647.20227382,maxTimeLimit,1733346,90326,0.034891928150663984,3600.158586025238,3665.63,238843377.8823008,,"(0.0,)","(0.0,)","(3816.674083537828,)",344828639.2319998
75B_6F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,222776358.61419845,optimal,1733346,90326,0.0003155121507584288,416.2333240509033,481.76,222846647.26224294,,"(0.0,)","(0.0,)","(2883.268232070375,)",344828639.2320001
100B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,261492259.44245264,maxTimeLimit,1531121,60721,0.17502513561190408,3600.0878400802612,3657.0,307259977.6128311,,"(0.0,)","(135004.58999999997,)","(3914.630087314111,)",423797768.6342401
100B_3F_robust_gamma_0d1_theta_0d05199999999999999,0.05199999999999999,0.1,334872360.88138515,maxTimeLimit,1531121,60721,0.13272042275931004,3600.1370210647583,3656.3,379316762.1879708,,"(0.0,)","(135004.5899999998,)","(5808.589988519116,)",423797768.6342402
100B_3F_robust_gamma_0d15_theta_0d05199999999999999,0.05199999999999999,0.15,305053200.04001063,maxTimeLimit,1531121,60721,0.20708911154626156,3600.154825925827,3656.23,368226396.21064043,,"(0.0,)","(135004.58999999994,)","(5173.53899008903,)",423797768.63424
100B_3F_robust_gamma_0d2_theta_0d05199999999999999,0.05199999999999999,0.2,292604859.32576215,maxTimeLimit,1531121,60721,0.22606959951600197,3600.1486089229584,3656.2,358753922.6899733,,"(0.0,)","(135004.5899999944,)","(5199.66826152333,)",423797768.63424116
